chembl_id,smiles,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_molformula,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,np_likeness_score,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb
CHEMBL390187,CN(C)c1ccc(-c2cnccc2C2SCC(=O)N2C2CCCC2)cc1,4.33,2,3.41,3.41,,4.92,C21H25N3OS,367.52,4,4,0,0,26,NEUTRAL,367.52,367.1718,-0.78,0,0,36.44,0.81,N,4
CHEMBL234916,O=C1CSC(c2ccncc2-c2ccc(C(F)(F)F)cc2)N1C1CCCC1,5.28,2,4.18,4.18,,4.64,C20H19F3N2OS,392.45,3,3,0,0,27,NEUTRAL,392.45,392.1170,-0.82,1,1,33.20,0.71,N,3
CHEMBL231799,CC(C)CN1C(=O)CSC1c1cccnc1-c1ccc(Br)cc1,4.74,2,4.35,4.35,,4.16,C18H19BrN2OS,391.33,3,3,0,0,23,NEUTRAL,391.33,390.0401,-0.91,0,0,33.20,0.75,N,4
CHEMBL234943,CC(C)CN1C(=O)CSC1c1cccnc1-c1ccc(Cl)cc1,4.63,2,4.18,4.19,,4.16,C18H19ClN2OS,346.88,3,3,0,0,23,NEUTRAL,346.88,346.0907,-1.03,0,0,33.20,0.81,N,4
CHEMBL394578,CC(C)CN1C(=O)CSC1c1cccnc1-c1ccc(F)cc1,4.12,2,3.72,3.72,,4.22,C18H19FN2OS,330.43,3,3,0,0,23,NEUTRAL,330.43,330.1202,-1.13,0,0,33.20,0.85,N,4
CHEMBL231826,COc1ccc(-c2ncccc2C2SCC(=O)N2CC(C)C)cc1,3.99,2,3.42,3.42,,4.28,C19H22N2O2S,342.46,4,4,0,0,24,NEUTRAL,342.46,342.1402,-0.77,0,0,42.43,0.82,N,5
CHEMBL398157,Cc1ccc(-c2ncccc2C2SCC(=O)N2CC(C)C)cc1,4.29,2,4.09,4.09,,4.24,C19H22N2OS,326.46,3,3,0,0,23,NEUTRAL,326.46,326.1453,-0.91,0,0,33.20,0.84,N,4
CHEMBL268157,O=C1CSC(c2cccnc2-c2ccc(C(F)(F)F)cc2)N1C1CCCC1,5.28,2,4.57,4.57,,4.16,C20H19F3N2OS,392.45,3,3,0,0,27,NEUTRAL,392.45,392.1170,-0.91,1,1,33.20,0.71,N,3
CHEMBL232848,C=Cc1ccc(-c2ncccc2C2SCC(=O)N2CC(C)C)cc1,4.62,2,4.32,4.32,,4.19,C20H22N2OS,338.48,3,3,0,0,24,NEUTRAL,338.48,338.1453,-0.58,0,0,33.20,0.80,N,5
CHEMBL398158,CC(C)CN1C(=O)CS[C@@H]1c1cnccc1-c1ccc(C(F)(F)F)cc1,5.00,2,4.07,4.07,,4.81,C19H19F3N2OS,380.44,3,3,0,0,26,NEUTRAL,380.44,380.1170,-0.90,0,0,33.20,0.75,N,4
CHEMBL232849,Cc1ccc(-c2ccncc2[C@H]2SCC(=O)N2CC(C)C)cc1,4.29,2,3.71,3.71,,4.88,C19H22N2OS,326.47,3,3,0,0,23,NEUTRAL,326.47,326.1453,-0.73,0,0,33.20,0.84,N,4
CHEMBL395308,O/N=C/c1ccc(-c2ccc(O)cc2)c2ccccc12,4.02,3,3.84,4.03,7.67,2.90,C17H13NO2,263.30,3,3,2,2,20,NEUTRAL,263.30,263.0946,-0.03,0,0,52.82,0.42,N,2
CHEMBL231810,O/N=C/c1ccc(-c2ccc(O)c(F)c2)c2ccccc12,4.16,3,3.67,4.17,7.09,2.32,C17H12FNO2,281.29,3,3,2,2,21,NEUTRAL,281.29,281.0852,-0.42,0,0,52.82,0.42,N,2
CHEMBL394357,O/N=C/c1ccc(-c2ccc(O)cc2)c2ccsc12,4.08,3,3.32,3.91,6.93,2.53,C15H11NO2S,269.32,4,3,2,2,19,NEUTRAL,269.32,269.0510,-0.52,0,0,52.82,0.42,N,2
CHEMBL231811,O/N=C/c1ccc(-c2ccc(O)cc2)c2sccc12,4.08,3,3.61,3.91,7.39,2.67,C15H11NO2S,269.32,4,3,2,2,19,NEUTRAL,269.32,269.0510,-0.57,0,0,52.82,0.42,N,2
CHEMBL231812,O/N=C/c1ccc(-c2ccc(O)cc2)c2ccoc12,3.61,3,2.00,3.20,6.21,1.99,C15H11NO3,253.26,4,4,2,2,19,ACID,253.26,253.0739,0.38,0,0,65.96,0.42,N,2
CHEMBL394614,O/N=C/c1ccc(-c2ccc(O)cc2)c2occc12,3.61,3,2.67,3.20,7.02,2.38,C15H11NO3,253.26,4,4,2,2,19,NEUTRAL,253.26,253.0739,0.43,0,0,65.96,0.42,N,2
CHEMBL232022,O/N=C/c1cn(-c2ccc(O)cc2)c2ccccc12,3.14,3,3.37,3.37,10.35,2.58,C15H12N2O2,252.27,4,4,2,2,19,NEUTRAL,252.27,252.0899,-0.61,0,0,57.75,0.42,N,2
CHEMBL388418,Cc1c(/C=N/O)c2ccccc2n1-c1ccc(O)cc1,3.45,3,3.57,3.57,10.47,2.68,C16H14N2O2,266.30,4,4,2,2,20,NEUTRAL,266.30,266.1055,-0.64,0,0,57.75,0.42,N,2
CHEMBL232023,Cc1c(/C=N/O)c2ccccc2n1-c1ccc(O)c(F)c1,3.59,3,3.71,3.71,9.14,2.12,C16H13FN2O2,284.29,4,4,2,2,21,NEUTRAL,284.29,284.0961,-1.00,0,0,57.75,0.43,N,2
CHEMBL438516,O/N=C/c1c(Cl)cc(-c2ccc(O)c(F)c2)cc1Cl,4.31,2,3.31,4.39,6.38,0.49,C13H8Cl2FNO2,300.12,3,3,2,2,19,ACID,300.12,298.9916,-0.65,0,0,52.82,0.49,N,2
CHEMBL514138,COc1ccc(S(=O)(=O)N(Cc2cccnc2)[C@@H](C(=O)NO)C(C)C)cc1.Cl,1.81,2,1.48,1.50,8.71,4.81,C18H24ClN3O5S,429.93,6,8,2,2,27,NEUTRAL,393.47,393.1358,-1.06,0,0,108.83,0.52,N,8
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2.58,3,2.12,3.08,6.55,,C15H10O5,270.24,5,5,3,3,20,NEUTRAL,270.24,270.0528,1.35,0,0,90.90,0.63,N,1
CHEMBL395183,COc1cccc(-n2c(=O)c3c(n(Cc4c(F)cccc4F)c2=O)CN(Cc2ccc(-n4ccnc4)cc2)CC3)c1,4.08,5,4.23,4.38,,7.00,C31H27F2N5O3,555.59,8,8,0,0,41,NEUTRAL,555.59,555.2082,-1.54,1,1,74.29,0.30,N,7
CHEMBL236544,COc1cccc(-n2c(=O)c3c(n(Cc4c(F)cccc4F)c2=O)CN(Cc2ccccc2)CC3)c1,3.89,4,4.48,4.61,,6.95,C28H25F2N3O3,489.52,6,6,0,0,36,NEUTRAL,489.52,489.1864,-1.20,0,0,56.47,0.41,N,6
CHEMBL236545,COc1cccc(-n2c(=O)c3c(n(Cc4c(F)cccc4F)c2=O)CNCC3)c1,1.98,3,1.38,2.51,,8.50,C21H19F2N3O3,399.40,6,6,1,1,29,NEUTRAL,399.40,399.1394,-1.14,0,0,65.26,0.73,N,4
CHEMBL236750,COc1cccc(-n2c(=O)c3c(n(Cc4c(F)cccc4F)c2=O)CN(Cc2ccncc2)CC3)c1,3.29,4,3.37,3.39,,6.25,C27H24F2N4O3,490.51,7,7,0,0,36,NEUTRAL,490.51,490.1816,-1.28,0,0,69.36,0.42,N,6
CHEMBL412581,COc1cccc(-n2c(=O)c3c(n(Cc4c(F)cccc4F)c2=O)CN(CCc2c[nH]c4ccccc24)CC3)c1,4.42,5,4.25,5.00,,8.06,C31H28F2N4O3,542.59,6,7,1,1,40,NEUTRAL,542.59,542.2129,-1.05,1,1,72.26,0.33,N,7
CHEMBL236751,COc1cccc(-n2c(=O)c3c(n(Cc4c(F)cccc4F)c2=O)CN(Cc2ccc(C)cc2)CC3)c1,4.20,4,4.99,5.13,,6.95,C29H27F2N3O3,503.55,6,6,0,0,37,NEUTRAL,503.55,503.2020,-1.25,1,1,56.47,0.40,N,6
CHEMBL398583,COc1cccc(-n2c(=O)c3c(n(Cc4c(F)cccc4F)c2=O)CN(Cc2ccccc2OC)CC3)c1,3.90,4,4.40,4.45,,6.50,C29H27F2N3O4,519.55,7,7,0,0,38,NEUTRAL,519.55,519.1970,-1.19,1,1,65.70,0.37,N,7
CHEMBL235084,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1ccccc1)C2,3.46,4,2.30,3.73,,8.32,C31H33F2N5O2,545.63,7,7,0,0,40,NEUTRAL,545.63,545.2602,-1.57,1,1,63.37,0.31,N,10
CHEMBL235301,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCNC2,1.55,3,-0.25,1.62,,8.63,C24H27F2N5O2,455.51,7,7,1,1,33,BASE,455.51,455.2133,-1.53,0,0,72.16,0.56,N,8
CHEMBL235302,CN(CCc1ccccn1)CCn1c(=O)c2c(n(Cc3c(F)cccc3F)c1=O)CCN(Cc1ccncc1)C2,2.86,4,1.52,2.51,,8.13,C30H32F2N6O2,546.62,8,8,0,0,40,NEUTRAL,546.62,546.2555,-1.62,1,1,76.26,0.30,N,10
